,content,style,softmax,AE_L1,iters,w_c,rejected
0,breast_scan_china_1224.jpeg,breast_scan_china_1959.jpeg,0.378,0.47539026,250,1,True
1,breast_scan_china_1224.jpeg,breast_scan_china_1959.jpeg,0.306,0.47317812,350,1,True
2,breast_scan_china_1224.jpeg,breast_scan_china_1959.jpeg,0.384,0.48775062,250,5,True
3,breast_scan_china_1224.jpeg,breast_scan_china_1959.jpeg,0.405,0.46684676,250,10,True
4,breast_scan_china_1224.jpeg,breast_scan_china_1959.jpeg,0.389,0.49542338,250,25,True
5,breast_scan_china_1224.jpeg,breast_scan_china_1959.jpeg,0.394,0.49709103,250,50,True
6,cbis_ddsm_390.jpg,cbis_ddsm_1453.jpg,0.545,0.48177394,250,1,True
7,cbis_ddsm_390.jpg,cbis_ddsm_1453.jpg,0.545,0.53136265,350,1,True
8,cbis_ddsm_390.jpg,cbis_ddsm_1453.jpg,0.545,0.5640008,250,5,True
9,cbis_ddsm_390.jpg,cbis_ddsm_1453.jpg,0.545,0.5381561,250,10,True
10,cbis_ddsm_390.jpg,cbis_ddsm_1453.jpg,0.536,0.46392354,250,25,True
11,cbis_ddsm_390.jpg,cbis_ddsm_1453.jpg,0.536,0.5508607,250,50,True
12,cbis_ddsm_2130.jpg,cbis_ddsm_2313.jpg,0.17,0.45153046,250,1,True
13,cbis_ddsm_2130.jpg,cbis_ddsm_2313.jpg,0.17,0.5384633,350,1,True
14,cbis_ddsm_2130.jpg,cbis_ddsm_2313.jpg,0.482,0.4714703,250,5,True
15,cbis_ddsm_2130.jpg,cbis_ddsm_2313.jpg,0.591,0.4890029,250,10,True
16,cbis_ddsm_2130.jpg,cbis_ddsm_2313.jpg,0.612,0.47092748,250,25,True
17,cbis_ddsm_2130.jpg,cbis_ddsm_2313.jpg,0.583,0.46659398,250,50,True
18,cbis_ddsm_3109.jpg,breast_scan_china_674.jpeg,0.583,0.5127686,250,1,True
19,cbis_ddsm_3109.jpg,breast_scan_china_674.jpeg,0.583,0.53737724,350,1,True
20,cbis_ddsm_3109.jpg,breast_scan_china_674.jpeg,0.583,0.5235614,250,5,True
21,cbis_ddsm_3109.jpg,breast_scan_china_674.jpeg,0.583,0.6172412,250,10,True
22,cbis_ddsm_3109.jpg,breast_scan_china_674.jpeg,0.618,0.4963832,250,25,True
23,cbis_ddsm_3109.jpg,breast_scan_china_674.jpeg,0.618,0.54751945,250,50,True
24,cbis_ddsm_3166.jpg,breast_scan_china_2258.jpeg,0.649,0.45501462,250,1,True
25,cbis_ddsm_3166.jpg,breast_scan_china_2258.jpeg,0.718,0.27201593,350,1,False
26,cbis_ddsm_1759.jpg,cbis_ddsm_1345.jpg,0.415,0.47610524,250,1,True
27,cbis_ddsm_1759.jpg,cbis_ddsm_1345.jpg,0.434,0.47565567,350,1,True
28,cbis_ddsm_1759.jpg,cbis_ddsm_1345.jpg,0.438,0.47708336,250,5,True
29,cbis_ddsm_1759.jpg,cbis_ddsm_1345.jpg,0.459,0.46959546,250,10,True
30,cbis_ddsm_1759.jpg,cbis_ddsm_1345.jpg,0.427,0.47637323,250,25,True
31,cbis_ddsm_1759.jpg,cbis_ddsm_1345.jpg,0.462,0.441193,250,50,True
32,cbis_ddsm_2640.jpg,cbis_ddsm_2183.jpg,0.706,0.46862495,250,1,False
33,cbis_ddsm_3154.jpg,breast_scan_china_3406.jpeg,0.706,0.5271615,250,1,True
34,cbis_ddsm_3154.jpg,breast_scan_china_3406.jpeg,0.706,0.5253856,350,1,True
35,cbis_ddsm_3154.jpg,breast_scan_china_3406.jpeg,0.842,0.39426607,250,5,False
36,cbis_ddsm_1032.jpg,breast_scan_china_2258.jpeg,0.574,0.47815645,250,1,True
37,cbis_ddsm_1032.jpg,breast_scan_china_2258.jpeg,0.437,0.4300637,350,1,True
38,cbis_ddsm_1032.jpg,breast_scan_china_2258.jpeg,0.863,0.4586686,250,5,False
39,cbis_ddsm_2963.jpg,breast_scan_china_2269.jpeg,0.695,0.35507804,250,1,True
40,cbis_ddsm_2963.jpg,breast_scan_china_2269.jpeg,0.636,0.39265865,350,1,True
41,cbis_ddsm_2963.jpg,breast_scan_china_2269.jpeg,0.683,0.48572406,250,5,True
42,cbis_ddsm_2963.jpg,breast_scan_china_2269.jpeg,0.589,0.48346445,250,10,True
43,cbis_ddsm_2963.jpg,breast_scan_china_2269.jpeg,0.616,0.46647987,250,25,True
44,cbis_ddsm_2963.jpg,breast_scan_china_2269.jpeg,0.626,0.46032888,250,50,True
45,breast_scan_china_1297.jpeg,cbis_ddsm_1014.jpg,0.619,0.4704448,250,1,True
46,breast_scan_china_1297.jpeg,cbis_ddsm_1014.jpg,0.3,0.43149123,350,1,True
47,breast_scan_china_1297.jpeg,cbis_ddsm_1014.jpg,0.537,0.46134162,250,5,True
48,breast_scan_china_1297.jpeg,cbis_ddsm_1014.jpg,0.499,0.4644186,250,10,True
49,breast_scan_china_1297.jpeg,cbis_ddsm_1014.jpg,0.514,0.46661186,250,25,True
50,breast_scan_china_1297.jpeg,cbis_ddsm_1014.jpg,0.501,0.47940832,250,50,True
